TargetDate,Region,RevenueTarget
2023-01-01,East Africa,17250.0
2023-01-01,West Africa,20700.0
2023-01-01,Southern Africa,13800.0
2023-01-01,North Africa,11500.0
2023-01-01,Middle East,23000.0
2023-01-01,Europe,28750.0
2023-01-01,North America,25300.0
2023-01-01,Oceania,9200.0
2023-02-01,East Africa,15075.0
2023-02-01,West Africa,18090.0
2023-02-01,Southern Africa,12060.0
2023-02-01,North Africa,10050.0
2023-02-01,Middle East,20100.0
2023-02-01,Europe,25125.0
2023-02-01,North America,22110.0
2023-02-01,Oceania,8040.0
2023-03-01,East Africa,15150.0
2023-03-01,West Africa,18180.0
2023-03-01,Southern Africa,12120.0
2023-03-01,North Africa,10100.0
2023-03-01,Middle East,20200.0
2023-03-01,Europe,25250.0
2023-03-01,North America,22220.0
2023-03-01,Oceania,8080.0
2023-04-01,East Africa,15225.0
2023-04-01,West Africa,18270.0
2023-04-01,Southern Africa,12180.0
2023-04-01,North Africa,10150.0
2023-04-01,Middle East,20300.0
2023-04-01,Europe,25375.0
2023-04-01,North America,22330.0
2023-04-01,Oceania,8120.0
2023-05-01,East Africa,15300.0
2023-05-01,West Africa,18360.0
2023-05-01,Southern Africa,12240.0
2023-05-01,North Africa,10200.0
2023-05-01,Middle East,20400.0
2023-05-01,Europe,25500.0
2023-05-01,North America,22440.0
2023-05-01,Oceania,8160.0
2023-06-01,East Africa,14606.25
2023-06-01,West Africa,17527.5
2023-06-01,Southern Africa,11685.0
2023-06-01,North Africa,9737.5
2023-06-01,Middle East,19475.0
2023-06-01,Europe,24343.75
2023-06-01,North America,21422.5
2023-06-01,Oceania,7790.0
2023-07-01,East Africa,14677.5
2023-07-01,West Africa,17613.0
2023-07-01,Southern Africa,11742.0
2023-07-01,North Africa,9785.0
2023-07-01,Middle East,19570.0
2023-07-01,Europe,24462.5
2023-07-01,North America,21527.0
2023-07-01,Oceania,7828.0
2023-08-01,East Africa,15525.0
2023-08-01,West Africa,18630.0
2023-08-01,Southern Africa,12420.0
2023-08-01,North Africa,10350.0
2023-08-01,Middle East,20700.0
2023-08-01,Europe,25875.0
2023-08-01,North America,22770.0
2023-08-01,Oceania,8280.0
2023-09-01,East Africa,15600.0
2023-09-01,West Africa,18720.0
2023-09-01,Southern Africa,12480.0
2023-09-01,North Africa,10400.0
2023-09-01,Middle East,20800.0
2023-09-01,Europe,26000.0
2023-09-01,North America,22880.0
2023-09-01,Oceania,8320.0
2023-10-01,East Africa,15675.0
2023-10-01,West Africa,18810.0
2023-10-01,Southern Africa,12540.0
2023-10-01,North Africa,10450.0
2023-10-01,Middle East,20900.0
2023-10-01,Europe,26125.0
2023-10-01,North America,22990.0
2023-10-01,Oceania,8360.0
2023-11-01,East Africa,18112.5
2023-11-01,West Africa,21735.0
2023-11-01,Southern Africa,14490.0
2023-11-01,North Africa,12075.0
2023-11-01,Middle East,24150.0
2023-11-01,Europe,30187.5
2023-11-01,North America,26565.0
2023-11-01,Oceania,9660.0
2023-12-01,East Africa,18198.75
2023-12-01,West Africa,21838.5
2023-12-01,Southern Africa,14559.0
2023-12-01,North Africa,12132.5
2023-12-01,Middle East,24265.0
2023-12-01,Europe,30331.25
2023-12-01,North America,26691.5
2023-12-01,Oceania,9706.0
2024-01-01,East Africa,18630.0
2024-01-01,West Africa,22356.0
2024-01-01,Southern Africa,14904.0
2024-01-01,North Africa,12420.0
2024-01-01,Middle East,24840.0
2024-01-01,Europe,31050.0
2024-01-01,North America,27324.0
2024-01-01,Oceania,9936.0
2024-02-01,East Africa,16275.0
2024-02-01,West Africa,19530.0
2024-02-01,Southern Africa,13020.0
2024-02-01,North Africa,10850.0
2024-02-01,Middle East,21700.0
2024-02-01,Europe,27125.0
2024-02-01,North America,23870.0
2024-02-01,Oceania,8680.0
2024-03-01,East Africa,16350.0
2024-03-01,West Africa,19620.0
2024-03-01,Southern Africa,13080.0
2024-03-01,North Africa,10900.0
2024-03-01,Middle East,21800.0
2024-03-01,Europe,27250.0
2024-03-01,North America,23980.0
2024-03-01,Oceania,8720.0
2024-04-01,East Africa,16425.0
2024-04-01,West Africa,19710.0
2024-04-01,Southern Africa,13140.0
2024-04-01,North Africa,10950.0
2024-04-01,Middle East,21900.0
2024-04-01,Europe,27375.0
2024-04-01,North America,24090.0
2024-04-01,Oceania,8760.0
2024-05-01,East Africa,16500.0
2024-05-01,West Africa,19800.0
2024-05-01,Southern Africa,13200.0
2024-05-01,North Africa,11000.0
2024-05-01,Middle East,22000.0
2024-05-01,Europe,27500.0
2024-05-01,North America,24200.0
2024-05-01,Oceania,8800.0
2024-06-01,East Africa,15746.25
2024-06-01,West Africa,18895.5
2024-06-01,Southern Africa,12597.0
2024-06-01,North Africa,10497.5
2024-06-01,Middle East,20995.0
2024-06-01,Europe,26243.75
2024-06-01,North America,23094.5
2024-06-01,Oceania,8398.0
2024-07-01,East Africa,15817.5
2024-07-01,West Africa,18981.0
2024-07-01,Southern Africa,12654.0
2024-07-01,North Africa,10545.0
2024-07-01,Middle East,21090.0
2024-07-01,Europe,26362.5
2024-07-01,North America,23199.0
2024-07-01,Oceania,8436.0
2024-08-01,East Africa,16725.0
2024-08-01,West Africa,20070.0
2024-08-01,Southern Africa,13380.0
2024-08-01,North Africa,11150.0
2024-08-01,Middle East,22300.0
2024-08-01,Europe,27875.0
2024-08-01,North America,24530.0
2024-08-01,Oceania,8920.0
2024-09-01,East Africa,16800.0
2024-09-01,West Africa,20160.0
2024-09-01,Southern Africa,13440.0
2024-09-01,North Africa,11200.0
2024-09-01,Middle East,22400.0
2024-09-01,Europe,28000.0
2024-09-01,North America,24640.0
2024-09-01,Oceania,8960.0
2024-10-01,East Africa,16875.0
2024-10-01,West Africa,20250.0
2024-10-01,Southern Africa,13500.0
2024-10-01,North Africa,11250.0
2024-10-01,Middle East,22500.0
2024-10-01,Europe,28125.0
2024-10-01,North America,24750.0
2024-10-01,Oceania,9000.0
2024-11-01,East Africa,19492.5
2024-11-01,West Africa,23391.0
2024-11-01,Southern Africa,15594.0
2024-11-01,North Africa,12995.0
2024-11-01,Middle East,25990.0
2024-11-01,Europe,32487.5
2024-11-01,North America,28589.0
2024-11-01,Oceania,10396.0
2024-12-01,East Africa,19578.75
2024-12-01,West Africa,23494.5
2024-12-01,Southern Africa,15663.0
2024-12-01,North Africa,13052.5
2024-12-01,Middle East,26105.0
2024-12-01,Europe,32631.25
2024-12-01,North America,28715.5
2024-12-01,Oceania,10442.0
2025-01-01,East Africa,20010.0
2025-01-01,West Africa,24012.0
2025-01-01,Southern Africa,16008.0
2025-01-01,North Africa,13340.0
2025-01-01,Middle East,26680.0
2025-01-01,Europe,33350.0
2025-01-01,North America,29348.0
2025-01-01,Oceania,10672.0
2025-02-01,East Africa,17475.0
2025-02-01,West Africa,20970.0
2025-02-01,Southern Africa,13980.0
2025-02-01,North Africa,11650.0
2025-02-01,Middle East,23300.0
2025-02-01,Europe,29125.0
2025-02-01,North America,25630.0
2025-02-01,Oceania,9320.0
2025-03-01,East Africa,17550.0
2025-03-01,West Africa,21060.0
2025-03-01,Southern Africa,14040.0
2025-03-01,North Africa,11700.0
2025-03-01,Middle East,23400.0
2025-03-01,Europe,29250.0
2025-03-01,North America,25740.0
2025-03-01,Oceania,9360.0
2025-04-01,East Africa,17625.0
2025-04-01,West Africa,21150.0
2025-04-01,Southern Africa,14100.0
2025-04-01,North Africa,11750.0
2025-04-01,Middle East,23500.0
2025-04-01,Europe,29375.0
2025-04-01,North America,25850.0
2025-04-01,Oceania,9400.0
2025-05-01,East Africa,17700.0
2025-05-01,West Africa,21240.0
2025-05-01,Southern Africa,14160.0
2025-05-01,North Africa,11800.0
2025-05-01,Middle East,23600.0
2025-05-01,Europe,29500.0
2025-05-01,North America,25960.0
2025-05-01,Oceania,9440.0
2025-06-01,East Africa,16886.25
2025-06-01,West Africa,20263.5
2025-06-01,Southern Africa,13509.0
2025-06-01,North Africa,11257.5
2025-06-01,Middle East,22515.0
2025-06-01,Europe,28143.75
2025-06-01,North America,24766.5
2025-06-01,Oceania,9006.0
2025-07-01,East Africa,16957.5
2025-07-01,West Africa,20349.0
2025-07-01,Southern Africa,13566.0
2025-07-01,North Africa,11305.0
2025-07-01,Middle East,22610.0
2025-07-01,Europe,28262.5
2025-07-01,North America,24871.0
2025-07-01,Oceania,9044.0
2025-08-01,East Africa,17925.0
2025-08-01,West Africa,21510.0
2025-08-01,Southern Africa,14340.0
2025-08-01,North Africa,11950.0
2025-08-01,Middle East,23900.0
2025-08-01,Europe,29875.0
2025-08-01,North America,26290.0
2025-08-01,Oceania,9560.0
2025-09-01,East Africa,18000.0
2025-09-01,West Africa,21600.0
2025-09-01,Southern Africa,14400.0
2025-09-01,North Africa,12000.0
2025-09-01,Middle East,24000.0
2025-09-01,Europe,30000.0
2025-09-01,North America,26400.0
2025-09-01,Oceania,9600.0
2025-10-01,East Africa,18075.0
2025-10-01,West Africa,21690.0
2025-10-01,Southern Africa,14460.0
2025-10-01,North Africa,12050.0
2025-10-01,Middle East,24100.0
2025-10-01,Europe,30125.0
2025-10-01,North America,26510.0
2025-10-01,Oceania,9640.0
2025-11-01,East Africa,20872.5
2025-11-01,West Africa,25047.0
2025-11-01,Southern Africa,16698.0
2025-11-01,North Africa,13915.0
2025-11-01,Middle East,27830.0
2025-11-01,Europe,34787.5
2025-11-01,North America,30613.0
2025-11-01,Oceania,11132.0
2025-12-01,East Africa,20958.75
2025-12-01,West Africa,25150.5
2025-12-01,Southern Africa,16767.0
2025-12-01,North Africa,13972.5
2025-12-01,Middle East,27945.0
2025-12-01,Europe,34931.25
2025-12-01,North America,30739.5
2025-12-01,Oceania,11178.0
